# scale    energy (eV/atom)    pxx    pzz
1 -3.90853155631534 -3171.91628887061 -3424.75488468542
1.00002 -3.90853047039246 -3270.84720854619 -3523.79140725076
1.00004 -3.90852932168099 -3369.74561145271 -3622.79516098911
1.00006 -3.90852811019695 -3468.6115047462 -3721.7661518705
1.00008 -3.90852683595634 -3567.4448977499 -3820.70438748972
1.0001 -3.90852549897515 -3666.24580276299 -3919.60987951223
1.00012 -3.90852409926941 -3765.01422542903 -4018.48263531444
1.00014 -3.90852263685509 -3863.75017076241 -4117.32266104122
1.00016 -3.90852111174819 -3962.4536469582 -4216.12996354411
1.00018 -3.9085195239647 -4061.12466158712 -4314.90455241577
1.0002 -3.90851787352062 -4159.76322262869 -4413.64643373164
1.00022 -3.90851616043192 -4258.36933754225 -4512.35561512569
1.00024 -3.9085143847146 -4356.94301498039 -4611.03210491461
1.00026 -3.90851254638461 -4455.48426135941 -4709.67591040336
1.00028 -3.90851064545797 -4553.99308437171 -4808.28703895626
1.0003 -3.90850868195063 -4652.46949380564 -4906.86549920761
1.00032 -3.90850665587856 -4750.91349572576 -5005.41129701826
1.00034 -3.90850456725773 -4849.32509724146 -5103.92444006242
1.00036 -3.9085024161041 -4947.70430681217 -5202.40493627524
1.00038 -3.90850020243364 -5046.05113347451 -5300.85279432992
1.0004 -3.90849792626231 -5144.36558252672 -5399.26802123398
1.00042 -3.90849558760607 -5242.64766035858 -5497.65062253727
1.00044 -3.90849318648086 -5340.89737396949 -5596.00060545237
1.00046 -3.90849072290266 -5439.11473110626 -5694.31797751777
1.00048 -3.90848819688741 -5537.2997394868 -5792.60274784628
1.0005 -3.90848560845105 -5635.45240695932 -5890.85492166438
1.00052 -3.90848295760953 -5733.5727438986 -5989.07450792521
1.00054 -3.9084802443788 -5831.66075471856 -6087.26151430241
1.00056 -3.9084774687748 -5929.71644724283 -6185.41594733806
1.00058 -3.90847463081347 -6027.73982937053 -6283.53781716105
1.0006 -3.90847173051073 -6125.73091238993 -6381.62713346727
1.00062 -3.90846876788252 -6223.68970180063 -6479.68390312185
1.00064 -3.90846574294476 -6321.61620521663 -6577.70813202189
1.00066 -3.90846265571339 -6419.51043161044 -6675.69983146039
1.00068 -3.9084595062043 -6517.37238543086 -6773.65900679812
1.0007 -3.90845629443343 -6615.20207372538 -6871.58566533248
1.00072 -3.90845302041669 -6712.99950750566 -6969.47981560417
1.00074 -3.90844968417 -6810.76469395002 -7067.34146385839
1.00076 -3.90844628570926 -6908.49763405669 -7165.17061110729
1.00078 -3.9084428250504 -7006.19833482457 -7262.96726371518
1.0008 -3.90843930220931 -7103.86680319401 -7360.73143019893
1.00082 -3.9084357172019 -7201.50304865589 -7458.46311774855
1.00084 -3.90843207004408 -7299.10707839433 -7556.16233579547
1.00086 -3.90842836075175 -7396.67889685815 -7653.82908954215
1.00088 -3.90842458934081 -7494.21851425335 -7751.46338880736
1.0009 -3.90842075582715 -7591.72593994722 -7849.06524003339
1.00092 -3.90841686022668 -7689.20118156781 -7946.6346516607
1.00094 -3.90841290255526 -7786.64425129888 -8044.17163828763
1.00096 -3.9084088828287 -7884.05602602801 -8141.67669777743
1.00098 -3.908404801057 -7981.4404278584 -8239.15206090204
1.001 -3.90840065725327 -8078.79214789155 -8336.59471361798
1.00102 -3.90839645143424 -8176.11119078658 -8434.00466483395
1.00104 -3.90839218361666 -8273.39756421125 -8531.38192315618
1.00106 -3.90838785381725 -8370.65127885225 -8628.72649950401
1.00108 -3.90838346205272 -8467.87233939694 -8726.03839730613
1.0011 -3.90837900833983 -8565.06075772727 -8823.31762775721
1.00112 -3.90837449269528 -8662.21654258299 -8920.56419985635
1.00114 -3.90836991513565 -8759.34137948749 -9017.77812338635
1.00116 -3.90836527566782 -8856.45116383651 -9114.95942264225
1.00118 -3.9083605743019 -8953.52678300066 -9212.1080834949
1.0012 -3.9083558110562 -9050.56798734375 -9309.22411146638
1.00122 -3.90835098594904 -9147.57478673703 -9406.30751440727
1.00124 -3.90834609899875 -9244.54718676968 -9503.358300595
1.00126 -3.90834115022364 -9341.48519336391 -9600.37647809315
1.00128 -3.90833613964202 -9438.38881536706 -9697.36205505178
1.0013 -3.90833106727223 -9535.25806346875 -9794.31504223682
1.00132 -3.90832593313255 -9632.09294279162 -9891.23544453006
1.00134 -3.90832073724131 -9728.89346128148 -9988.12326981295
1.00136 -3.90831547961681 -9825.6596288744 -10084.9785285617
1.00138 -3.90831016027735 -9922.39145357967 -10181.8012264207
1.0014 -3.90830477924125 -10019.0889385241 -10278.5913709847
1.00142 -3.90829933652679 -10115.7520909105 -10375.3489691739
1.00144 -3.9082938321523 -10212.3809184945 -10472.0740286335
1.00146 -3.90828826613607 -10308.9754308588 -10568.7665565396
1.00148 -3.90828263849641 -10405.5356389046 -10665.42656708
1.0015 -3.9082769492516 -10502.0615471489 -10762.054064541
1.00152 -3.90827119841995 -10598.5531615042 -10858.6490547601
1.00154 -3.90826538601976 -10695.0104918279 -10955.211545645
1.00156 -3.90825951206932 -10791.4335502663 -11051.7415518142
1.00158 -3.90825357658578 -10887.8240206087 -11148.2429933111
1.0016 -3.90824757958103 -10984.181669538 -11244.7153212932
1.00162 -3.908241521073 -11080.5047680953 -11341.1544833695
1.00164 -3.90823540108078 -11176.7933202317 -11437.5604844229
1.00166 -3.90822921962345 -11273.0473364306 -11533.9333372258
1.00168 -3.9082229767201 -11369.2668209709 -11630.273047414
1.0017 -3.90821667238981 -11465.4517812186 -11726.5796198137
1.00172 -3.90821030665167 -11561.6022155826 -11822.8529751493
